sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,neutral
 How can you read these dreadful tales of woe that we all testify to and callously ignore the warnings is beyond me ,0,0,0,1,0,0,0,0,0
I was there  so unpacked for the night  stayed with him  and the next morning he won\'t get up to eat breakfast  or dinner and complains abouthow hard it was on everybody ,0,0,0,0,1,0,0,0,0
 I will be starting TX and can't wait to hear how you are ,0,0,0,0,0,0,0,1,0
I took Lactulose daily for a year multiple times a day at the onset ,0,1,0,0,0,0,0,0,0
 I think this is grossly unfair as there are very few of them and very far in between,0,0,0,0,0,0,1,0,0
  I translate it into his utter sadness  despair  regret  and fear,0,0,0,0,1,0,0,0,0
    I have already been diagnosed with gall bladder that needs to come out,0,0,0,0,1,0,0,0,0
 I really don't want to stop the treatment as I have cirrhosis stage 3-4 and need to get RID of this nasty virus,0,0,0,0,0,0,1,0,0
 I think I have gotten about100 new grey hairs in the last week,0,0,0,0,1,0,0,0,0
 The value to these patients  and to their loved ones and society - you can\'t put a price tag on it,0,1,0,0,0,0,0,0,0
 I went to the doctors and explained that I isolate myself a lot and that I'm scared to talk to new faces I get like really anxious Bc I feel like they think I'm weird,0,0,1,0,0,0,0,0,0
The labs were worse and worse as his Hep C kept on attacking the new liver until he had treatment  and then his numbers settled down again  but he has some liver damage from that in between time,0,0,1,0,0,0,0,0,0
  I dont like only taking - which is why I drift into trying to give or have done in the past,0,1,0,0,0,0,0,0,0
  I also knew my stomach was swelling from ascites  but it was just my plain old fat tummy  lol  that was protruding,0,0,0,1,0,0,0,0,0
David it's time to lock this thread due to it's length,0,0,0,0,0,0,0,0,1
 at that point in time  i quit drinking and followed a semi healthy lifestylegood food and exercise,1,0,0,0,0,0,0,0,0
Needless to say no one was in any danger but after that I went on a mission to find what was causing the sudden mental issues,1,0,0,0,0,0,0,0,0
 Kelly do you ever tire of hearing or seeing the constant barrage of  My so and so is treating me like crap and he won\'t quit drinking  ,0,0,0,0,1,0,0,0,0
  After a few days I never took the riba all at once  I waited a half hour to an hour between pills,0,1,0,0,0,0,0,0,0
 many prayers will be said for you to win this battle,0,1,0,0,0,0,0,0,0
'Hi Connie I never thought about how tough it was  I knew stopping work or the treatment  would be the end of a normal life as I knew it,0,0,1,0,0,0,0,0,0
 I am so thrilled with hopes those of you treating now will avoid the nastiness of ESLD  HE and needing a transplant,1,0,0,0,0,0,0,0,0
  We went to lunch  and to a park when came home where he greeted our critters  took a pain pill and borrowed down in his old bed  so comfy sleeping off the pain,1,0,0,0,0,0,0,0,0
 Iron/ferritin levels have not increased significantly  enzymes  CBC  CMP are normal except for elevated MCV and low platelet count 148 as the lowest,0,0,0,0,0,0,0,1,0
  They gave that to my husband for his cramping also,0,1,0,0,0,0,0,0,0
 I know we can be of help to you  both for support and information,0,1,0,0,0,0,0,0,0
Emma  a biopsy is the definitive way to determine the extent of liver damage and what is really going on,0,0,1,0,0,0,0,0,0
 Other posters I myself have learned to respect and love are Butterflythree  hep93  myfather  moms will to live  and many others,1,0,0,0,0,0,0,0,0
he gets a monthly breathing treatment in its place and he's off of valcyte now ,1,0,0,0,0,0,0,0,0
If she was fine before the fall  and now all this  I think I would put her in the hospital for more testing and observation ,0,0,0,0,0,0,0,1,0
The oldest one is angry at her and is slowly dealing with that and there will be the time where he will confront her on all of his issues  but only when he is ready,0,0,0,0,0,0,1,0,0
  Trouble is for about 6 weeks I've had severe debilitating joint pain ,0,0,0,0,1,0,0,0,0
 Then I read Rick's posting on another site and realized I was back where I belonged,0,1,0,0,0,0,0,0,0
 Mine wasn't caused by anything in particular but there are some medications that can trigger it,0,0,0,0,0,0,0,0,1
In my case  the tumor HAD ruptured prior to laparoscopic resection of the appendix and the mucin spread around,0,0,0,0,1,0,0,0,0
David your post have been so helpfulto me and my husband,1,0,0,0,0,0,0,0,0
 Got call today that I am positive for CMV infection,0,0,1,0,0,0,0,0,0
'thanks connie  i think  that the actual results are left and the normal ratio is right on this paperwork  heres a few examples,0,0,0,1,0,0,0,0,0
The specialists also said it was better that he eat something that will help him put on weight  rather than continuously watch the sodium  so he was allowed to have gravy etc that I would normally carefully monitor,0,0,0,0,0,0,0,1,0
 Try to calm down and concentrate on what comes next,0,1,0,0,0,0,0,0,0
  This disease has shown me that I am human and this tx has made me humble,1,0,0,0,0,0,0,0,0
My sis is stable  no short term memory  but doing well with 70 hours of home health care a week and all her meds  drs stuff  and $$$ looked after for her by me,0,0,0,0,0,0,0,1,0
 It\'s really funny he sleeps so soundly at any time  I could go over and whip an eyebrow off,1,0,0,0,0,0,0,0,0
You have read our stories and likely know many of our members here have successfully treated with Solvaldi/riba,1,0,0,0,0,0,0,0,0
 I kept looking for you to tell you how good it turned out,1,0,0,0,0,0,0,0,0
  Sorry to get on my soapbox but I really do think the tendency of pharmacy is to over medicate with the goal of people falling in to some arbitrary ideal range,0,0,0,0,0,0,1,0,0
Natty  it sounds like you went through a very rough time with pneumonia,0,0,0,0,1,0,0,0,0
 The time frame they have given you/her is a standard with alcoholics,0,1,0,0,0,0,0,0,0
  Still got the flu like symptoms - but today I don\'t feel like I don\'t like myself,0,0,0,1,0,0,0,0,0
 This is known as a bridge to a transplant  and if he was told he needed a transplant,0,0,0,1,0,0,0,0,0
Hoping you all are getting Hep C treatment  waiting for your transplants  getting your AIH meds under control  etc,1,0,0,0,0,0,0,0,0
 From the time I was first diagnosed with C in '93 until about 2 years ago  I felt fine except for extreme fatigue,1,0,0,0,0,0,0,0,0
  Can't say I wasn't a nervous wreck at this point about this decision,0,0,0,1,0,0,0,0,0
 Don't drink or smoke either and haven't since my diagnosis,0,0,0,0,0,1,0,0,0
I have stage one in disease and stage one in scarring,0,0,1,0,0,0,0,0,0
  I know i tried wearing different shoes  etc but nothing seemed to work,0,0,0,0,0,0,1,0,0
 Later that evening I got a call from my hep  the numbers were up again,0,0,0,0,1,0,0,0,0
  This is due to changing diet  following doctors orders  but most importantly NO ALCOHOL,0,0,0,0,1,0,0,0,0
  First thing we noticed was worse insomnia and Riba Rage,0,0,0,0,0,0,1,0,0
  You know that nobody can really say how long he has left  as everyone is different,0,0,0,0,1,0,0,0,0
 I can't comprehend how two of your family members have already passed on with liver disease,0,0,0,0,0,1,0,0,0
 I ain't quite sure how the Rabbi's handle that sort of thing but it can't be pretty ,0,0,1,0,0,0,0,0,0
 in the hospital--a long trip--and I was really tired,0,0,0,0,1,0,0,0,0
 My mom got C Diff when she was in the skilled nursing center,1,0,0,0,0,0,0,0,0
 After an Ultrasound and CT Scan  he has Fatty Liver at the least and his liver is too big for them to see if he has any Cirrohsis,0,0,1,0,0,0,0,0,0
I told him don't worry about not being able to work  that I made enough to support us both,1,0,0,0,0,0,0,0,0
 I thought what's the use in yelling so I just pretended to talk through crying,0,0,0,0,1,0,0,0,0
  Flaming and insults  however  will not be tolerated,0,0,0,0,0,1,0,0,0
'Hey everyone  just wanted to let you know I have been thinking aboutyou all,1,0,0,0,0,0,0,0,0
  As for the varices  I will wait until Tuesday and see what doctor has to say,0,0,0,0,0,0,0,1,0
 I'm kind of holding out for the new treatment that will supposedly be available in 2010,0,0,0,0,0,0,0,1,0
'It is a bum deal with such  successful treatments so close to being available,1,0,0,0,0,0,0,0,0
I take Lactulose3 tablespoons sometimes 4 times a day,0,0,0,0,1,0,0,0,0
 They live in TX  but it was quite a drive for them back and forth,0,0,0,0,0,0,1,0,0
 The spend down program was originally started so the healthy partner does not lose every thing if a nursing home becomes an issue but was found to be beneficial in cases of catastrophic illness,0,0,0,0,0,0,0,1,0
 AFP is produced whenever liver cells are regenerating,1,0,0,0,0,0,0,0,0
Natasha  diet is very important to a liver disease patient,1,0,0,0,0,0,0,0,0
 Rejecting one doesn't change ones status on the list and you could wait for a better organ,0,0,0,0,0,0,0,1,0
 i guess i will have to wait untill tuesday when we are lucky enough to have been given a ten minute phone consultation with our g,0,0,0,0,0,0,0,1,0
 Moving on we must band together against these US agitators Rick and David  ,0,1,0,0,0,0,0,0,0
 My e-mail is in my profile if you'd rather do it that way,0,1,0,0,0,0,0,0,0
 The reality is that this disease doesn't make for anything close to that   To my observance it tends to drain the life caretakers and devastate finances ,0,0,0,0,1,0,0,0,0
I'm up on my Hep C stuff and know a lot about Trasplants  but not about AIH,0,0,0,1,0,0,0,0,0
 If you caught the flu  would that be any different,0,0,0,1,0,0,0,0,0
 More often  the problem develops in people with chronic liver disease,0,0,0,0,1,0,0,0,0
 So  since your upset with a couple  dont put us all in the same category,0,0,0,0,0,1,0,0,0
 THe docs and nurses beat around the bush and really dont say a lot,0,0,0,0,0,1,0,0,0
 With the obesity problem in the US  we will see an increasing need for transplantation for those with Non Alcoholic Fatty Liver Disease,0,0,0,0,0,0,0,1,0
 Some things in life you can\'t get back and one is precious time with your children ,0,0,0,0,1,0,0,0,0
  They are learning to deal with their dad's illness,0,0,0,0,1,0,0,0,0
Had my 5 hour session with new cirrhosis clinic here,0,0,0,0,1,0,0,0,0
 Sometimes things happen for a reason that are unexplainable  my doctors had given me up for dead and the family was told to prepare for the worst,0,0,0,0,1,0,0,0,0
 Your weight in kg divided by the square of your weight in kg,0,0,0,0,0,0,0,0,1
 I like the ones that have a chewy  as opposed to a mushy texture,1,0,0,0,0,0,0,0,0
 Not that im in the habit from during that  be far im not  but there is times where you may forego a condom for certain resons   stupit tears forgetting  feels better without one  other dont want,0,0,0,0,1,0,0,0,0
  I seldom get out by myself and when I do  he calls to see when I will be home,0,0,1,0,0,0,0,0,0
he survived  thank the lord but with a really rough road ahead,1,0,0,0,0,0,0,0,0
 The doctor called me and told me to drive the 2 hours to Scripps and do not forget my tooth brush,0,0,0,0,0,0,0,0,1
'Hello Ricky  For purposes to protect myself I will freely admit having only just taken my lactulose  even though I\'ve been up three hours,0,0,0,0,0,1,0,0,0
Really great news and the kind we love and need to hear,1,0,0,0,0,0,0,0,0
But if things progress  liver failure can become life threatening,0,0,1,0,0,0,0,0,0
Plant needed help with side effects and got that help,0,0,0,0,0,0,0,1,0
 My friend replied : I come home from work every day sit on the couch  open a cold beer and grab a bag of Cheetos then slip in my favorite adult movie in the VCR and within 15 minutes this orangeness appears on my hands and private parts ,0,0,1,0,0,0,0,0,0
  My thought process seems a little slower than normal,0,0,0,1,0,0,0,0,0
I actually flew to my cousins wedding in california  i live in OH in June,1,0,0,0,0,0,0,0,0
 I think that a loving intention does produce actual healing energy,0,1,0,0,0,0,0,0,0
His cholesterol was FINE  now we will see next time,0,1,0,0,0,0,0,0,0
 It's just non stop something with her any more  I knew the human body was strong  but just never knew how much,0,0,0,1,0,0,0,0,0
 He\'s stubborn in the best of times but this has been an awful 30 or so hours,0,0,0,0,0,1,0,0,0
 What will the progression be if he doesn\'t get the transplant,0,0,0,0,0,0,1,0,0
  I took her to the ER for x-rays and thank God nothing was broken  although she did have a sprained ankle,0,0,1,0,0,0,0,0,0
The more he keeps this up the less time he has to survive what little chance he has,0,0,0,0,0,0,1,0,0
I wanted to post in the other thread - caregivers - but as I cant - I had to respond to you in in here which hijacks the OP\'s thread - so I apologise to the OP of course,0,0,0,0,0,1,0,0,0
  You've done well not to have had symptoms until 2 yrs,0,0,0,1,0,0,0,0,0
 She sent me for a ct scan which revealed a small amount of air and turns out that I had a perforated ulcer that they think sealed itself back off,0,0,0,0,0,0,0,0,1
 When my feet  ankles  and calves were like that  they wept  but no actual blisters,0,0,0,0,0,0,0,0,1
It is amazing that when you live in one city and your specialist is in another that you cant get your local hospitals to take care of you,0,0,0,0,0,0,1,0,0
  When my husband's encephalopathy was bad  I felt so alone and afraid,0,0,1,0,0,0,0,0,0
hi mrs tomo  im sorry things are not improving for your husband,0,0,0,0,1,0,0,0,0
  Symptoms of liver disease fatigue  jaundice  nausea  sleep cycle mixed up  etc,0,0,0,0,0,0,0,0,1
joey I wrote a long post yesterday that the GREAT Internet Ghost zoomed off somewhere before I sent it,0,0,0,0,0,0,1,0,0
  They do better when they know a family member is actively involved,0,1,0,0,0,0,0,0,0
  However  if she was having hepatic encephalopathy that's what the Lactulose is for  then they probably assumed that she has cirrhosis and she most likely does,0,0,0,0,1,0,0,0,0
I guess we would have to pay for that should he end up there,0,0,1,0,0,0,0,0,0
  Having said all of the above  how do you bake your chicken breast,0,0,0,0,0,0,0,0,1
  Medicare is a federal program that is paid in by the employeeyour husband and his employer while he was able to work,0,0,0,0,0,0,0,0,1
 not everyone is going to quit drinking and they deserve a place in the forum for their voices,0,0,0,0,0,0,0,1,0
 He had laid down to take a nap Saturday afternoon  and just never woke up,0,0,0,0,1,0,0,0,0
i will ask for a new print out of the recent bloods  they are usually ok at giving them to me  they think im doing it on principal rather than being able to understand them  which i let you guys decipher for me,0,0,0,0,0,0,0,0,1
Good thing I will have 363 days left in 2012 to get this done,0,0,0,0,0,0,0,1,0
The ones that say L or l mean those are below normal,0,0,0,0,0,0,0,0,1
After 3 years on the list and 9 yep  NINE offers the mister finally received a transplant on Father's Day,1,0,0,0,0,0,0,0,0
They were dangerously low  and this causes confusion too,0,0,1,0,0,0,0,0,0
I just plain didn't know how long I could continue,0,0,0,0,1,0,0,0,0
When I go to sleep - I sleep I have not taken a melatonin since taking these meds - not supposed to and I am very surprised how I just knock out,0,0,0,1,0,0,0,0,0
Five weeks since hernia surgery and I\'m feeling quite good  though I have not  until today  actually begun posting like the old days,1,0,0,0,0,0,0,0,0
Dad was give 3 months initially  then I emailed another cancer specialist at the National Cancer Institue and he said 12 - 14months with the drugs,0,0,0,1,0,0,0,0,0
My surgeon  of course  will make the decision once he's there,0,1,0,0,0,0,0,0,0
He is more concerned that it appears to be attacking my liver,0,0,1,0,0,0,0,0,0
Above you mention he's stopped drinking and isn't getting better,0,0,0,1,0,0,0,0,0
I feel very fortunate that I had the doctors that work those kinds of medical miracles working on me,1,0,0,0,0,0,0,0,0
his sores have cleared up  belly remains slightly swollen but less than was previously  he walks better and his rages seem to have been replaced by a tearfull self pity,1,0,0,0,0,0,0,0,0
Prior to Lyme I was against taking antibiotics for anything unless absolutely necessary and here I am now going all in,0,0,0,0,1,0,0,0,0
And - david - dont write personally again to me please with your snide little insipid email tactics off the board,0,0,0,0,0,1,0,0,0
It has a lot of good information about liver disease,0,0,0,0,0,0,0,0,1
I have a friend who originally got SSD because of severe toxicity from an OTC natural substance for sleep,0,0,0,0,1,0,0,0,0
  I was wondering about that because I have never heard of that,0,0,0,1,0,0,0,0,0
  I have 2 hernias that they will fix and then they will look around to see if my appendix tumor cells are replicating,0,0,1,0,0,0,0,0,0
 Anything of this nature tends to build up in the system so do antidepressants and may need to be adjusted down,0,0,0,0,0,0,0,0,1
 of continuous sobriety when I was diagnosed with hep C in \'93,0,0,0,0,0,0,0,0,1
 what a great feeling  reading those words not detected,1,0,0,0,0,0,0,0,0
 My husband is also very ill but not enough for a transplant yet he is on the list with a MELD of 16  it has gone as low as 13 and as high as l7,0,0,1,0,0,0,0,0,0
 From what I've read  that shouldn't be too tough for most folks here,0,1,0,0,0,0,0,0,0
  I imagine he's on Bactrim and Acyclovir  like I am,0,0,0,0,0,0,0,0,1
 I was surprised at the level of fatigue that hit me a few days ago,0,0,0,1,0,0,0,0,0
 That is what began my new search on the web for information and I found this site,0,0,0,0,0,0,0,0,1
  Seems the meds for antirejection are tough on the kidneys and we have a sort of joke,0,0,0,0,0,1,0,0,0
 I also have a support system set up for myself and for the kids as we need it,0,0,0,0,0,0,0,1,0
There are many folks on here that are more knowledgeable and they will be a long shortly to answer or add to what I have written,0,0,0,0,0,0,0,0,1
  She died at 87 and was a pioneer woman that told tales of huge herds of buffalo and hords of locust and blizzards so bad you had to run a rope between the house and barn so you didn\'t get lost,0,0,0,0,0,0,0,0,1
 Our TGH volunteer that helped us after Robert's TX had this - it's actually fairly common,0,0,0,0,0,0,0,0,1
 It's like they know they dont have to save her  so it didnt matter anymore,0,0,0,0,0,1,0,0,0
 We made the decision to intubate her  to make it easier,0,0,0,0,0,0,0,0,1
In FL  the Marchman Act covers alcoholics and drug addicts,0,0,0,0,0,0,0,0,1
 They should be on the first or second page and will say Education: Stages of Liver Disease  etc,0,0,0,0,0,0,0,0,1
 This is certainly a case of the tailend wagging the dingo as they say in Trollope Creek,0,0,0,0,0,0,0,0,1
 the best thing I can tell you is to learn to breathe in the moment,0,0,0,0,0,0,0,1,0
What gets to me about this screwed up country - is even if we go private - we still have to make NI contributions which are supposed to go to the NHS,0,0,0,0,0,0,1,0,0
 I have always opted to be an organ donor on my Driver License but I was wondering if my organs would even be *usable* since I have the virus,0,0,0,0,0,0,0,0,1
 Your input along with Rick and Mick's is very valuable,1,0,0,0,0,0,0,0,0
 Could you tell me what's the way for foreigner of getting a prescription in India,0,0,0,0,0,0,0,0,1
 To me  constant diarrhea was the worst part of dealing with a failing liver,0,0,0,0,1,0,0,0,0
only if one is at high risk for liver cancer or there's suspicion of cancer,0,0,0,0,0,0,0,0,1
  They say they will be happy to have him make it 91 days  we are at 30,0,0,1,0,0,0,0,0,0
 I did so much research on the new treatments and I had no doubt of how successful they would be,0,1,0,0,0,0,0,0,0
 But she is going to need some professional help and advice as well in order to know how to care for him  what to watch for  and to be firm about eliminating and NOT providing it for him,0,0,0,0,0,0,0,0,1
Hi P&C I am from Canada in the province next door  welcome to the forum,0,0,0,0,0,0,0,0,1
Most of the doctors that she has seen have said that they think she is into the cirrhosis stage,0,0,0,0,1,0,0,0,0
 As you learned  Lactulose is to eliminate ammonia from the brain which causes hepatic encephalopathyvia multiple BMs,0,0,0,0,0,0,0,0,1
 It allows the fluid to bypass my liver and the toxins are expelled via normal bodily functions,0,0,0,0,0,0,0,0,1
 If there's one thing I've learned from this group  it's that I do NOT want to let this disease play out any further than necessary,0,0,0,0,0,0,0,1,0
 When I spoke to her last month she told me not to worry that she and the drug company would handle all the paperwork and details for me,1,0,0,0,0,0,0,0,0
 The urine in general turns dark when one is near the end,0,0,0,0,1,0,0,0,0
 No true drunk will lose the love of his life  Actually death  without a fight   It's been his crutch through thick and thin for years ,0,0,0,0,0,0,0,0,1
We have lots of members who are dealing with hepatitis themselves or they are caretaking for a family member with it,0,0,0,0,0,0,0,0,1
  I am so sorry that you have to deal with this terrible disease,0,0,0,0,1,0,0,0,0
 We do have some members here with Hep B and I will give your post a title so they can find you more easily,0,0,0,0,0,0,0,0,1
I am going to go ahead and tell the family to come if they can  I don't know if he will recognize anyone,0,0,1,0,0,0,0,0,0
 He tried the banana thing but it didn't work for him,0,0,0,0,1,0,0,0,0
  I know losses of those we love can take time to come to terms with,0,0,0,0,0,0,0,1,0
THe way I act now - Limbo Land - is kind of an inbetween - I can live like this - be good to my family - work hard when I feel up to it fatigue wise - and stay off the booze easily,0,0,0,0,0,0,0,1,0
 Your choice though  you know your strengths better than we do,0,1,0,0,0,0,0,0,0
 As David mentioned  there can be a number of reasons for this  such as age  his condition at the time of transplant  etc,0,0,0,0,0,0,0,0,1
Are you saying you are only joking or something now,0,0,0,1,0,0,0,0,0
My mom just called me and she is not eligible to be put on the list because she is refusing a psych evail and the TIPS procedure,0,0,0,0,1,0,0,0,0
  If possible  when you are able to  get a referral to a Hepatologist,0,0,0,0,0,0,0,0,1
The hitch with the Pfizer giveaway is that the person has to have lost their job since Jan,0,0,0,0,0,0,0,0,1
 He was the one who broke through all of my walls and allowed me to love again,1,0,0,0,0,0,0,0,0
  He still is not very sure he even wants the evaluation,0,0,1,0,0,0,0,0,0
 '07  but came back even larger a couple of months later,1,0,0,0,0,0,0,0,0
I have family members who are active in AA and have offered to take her to meetings if she chooses to go  but that has to be her decision to go  I can suggest but cant force her to go,0,0,0,0,0,0,0,1,0
  If a person is disabled they are entitled to Medicare two years after the person is determined disabled,0,0,0,0,0,0,0,0,1
ultrasounds and CTs show surface textures  size and shape,0,0,0,0,0,0,0,0,1
 Points have been made and any further discussion will be fruitless,0,0,0,0,0,1,0,0,0
  One of my co-moderators  Dany  has AIH and has been living with it successfully for quite some time,0,0,0,0,0,0,0,1,0
  I know that you two made a lot of sacrifices to get to this place,0,0,0,0,0,0,0,1,0
  I know I'm grateful to be retired  even if it is hard to make ends meet sometimes,1,0,0,0,0,0,0,0,0
just different things he found that worked in two treatments,0,0,0,0,0,0,0,0,1
  BP dropped so low and they are working him off 3 BP meds and loading him up with antibiotics,0,0,0,0,0,1,0,0,0
he could have one crisis right now and that be his last crisis,0,0,1,0,0,0,0,0,0
 But here I am feeling so confused sad and feel like my life is out,0,0,0,0,1,0,0,0,0
 So I know that\'s part of what\'s going on with me,0,0,0,0,1,0,0,0,0
 The sleeping is normal  but of course there would be even more sleeping if he is drinking,0,0,0,0,0,0,0,0,1
 Don\'t forget to tell your princess they are the love of your life and let them know your day wasn\'t complete without them by your side ,0,0,0,0,0,0,0,1,0
  I'm still NOT DETECTED 4 months after end of treatment,0,0,0,0,0,1,0,0,0
Angie  that\'s good news that he\'s more clear minded and thinking about the future  which shows optimism,0,0,0,0,0,0,0,1,0
  Is the bleed from the diabetes or ESLD or do you know,0,0,0,0,0,0,0,0,1
 Then moved to a better liver/kidney hospital and tests started all over again and start/continue on meds,0,0,0,0,0,0,1,0,0
 The main difference is that neomycin makes you more gassy and runnier  plus they need to keep checking on her kidney functions,0,0,0,0,0,0,0,0,1
I have a doctor appointment on Thursday February 11 - got blood work done - so we shall see how we are doing,0,0,1,0,0,0,0,0,0
So  anyone with experience in high iron levels from cirrhosis,0,0,0,0,0,0,0,0,1
Hubby is now on week 3+ of bad cold with non stop cough,0,0,0,0,1,0,0,0,0
 We've known each other since we were 14 I'm 66 now and know everything about each other's lives,0,1,0,0,0,0,0,0,0
  Another blood text in 4 weeks that tells me if the number is going down,0,0,0,0,0,0,0,1,0
Also  does anyone who successfully completed tx feel any different physically,0,0,0,0,0,0,0,0,1
  The paranoia is FIERCE and extremely difficult to control,0,0,1,0,0,0,0,0,0
 I never let myself believe for one minute  that he wouldn't make it,0,0,0,0,0,0,0,1,0
 Thanks to BCBS for covering the thousand dollar a day miracle drug,1,0,0,0,0,0,0,0,0
Yes Rick He's had his lactulose with beetroot and is as lucid as you are likely to find him on a good day,1,0,0,0,0,0,0,0,0
  He stayed sober for a month and a half and went back to drinking I noticed him drunk again on my birthday,0,0,0,0,0,1,0,0,0
 Trying to find a doctor that would see her was also quite the hurdle as most in our area arent accepting new patients  let alone a new patient with all these issues,0,0,1,0,0,0,0,0,0
  I did ask hubby if the on call GP mentioned his liver disease  and they did discuss  so I feel better about that,1,0,0,0,0,0,0,0,0
 that was the last thing on earth I wanted to hear much less expect not knowing anything about how our entire life was going to change,0,0,1,0,0,0,0,0,0
 My father committed suicide when I was about 25  and that was devastaing,0,0,0,0,1,0,0,0,0
 I'm amazed at your story and saw where you took something called Inferon,1,0,0,0,0,0,0,0,0
  I know that this is temporary and for a really great cause  and that makes it all completely worth it,0,0,0,0,0,0,0,1,0
 Mine was direct-deposited over a week ago and I was surprised  as I wasn't expecting it until the end of May,0,0,0,1,0,0,0,0,0
 My thinking is slowed and I cant imagine anything  I have trouble remembering names or words  I have constant tinitus that never stops and songs or sentences that repeat over and over again in my head  NON STOP all day,0,0,0,0,1,0,0,0,0
 Have been on prednisone since 1990 cuz it was only thing that would keep enzymes near normal,0,0,0,0,0,0,0,1,0
 I made her a carnation instant breakfast shake with fresh Raspberries so she could have that on the way over and she took her medication when we got there,0,1,0,0,0,0,0,0,0
  You can be sure it is related to his ESLD and nothing can be done,0,0,0,0,0,0,1,0,0
 Of course I don't want to think aboutthe end stages of hepatitis,0,0,1,0,0,0,0,0,0
 The trips were quick ones as nothing solid issued forth for 5 years that I used it,0,0,0,0,0,0,1,0,0
 He is afraid to flare up my ITP again so he wants me to just wait it out,0,1,0,0,0,0,0,0,0
 it was not hard to attest to that because that is what happened,0,0,0,0,0,0,0,0,1
 To shut up the critics  I explained that I was 20 - 30 years their senior  made more money than they did and if they didn\'t like it  tough,0,0,0,0,0,0,1,0,0
 One day at a time he will leave all the negatives behind and step into the future as a new person  full of hope and positive expectations,1,0,0,0,0,0,0,0,0
Evidently we don't know how to work the system,0,0,0,0,0,1,0,0,0
 so i\'ve poked around some HCV sites that explanin some cases it takes up to YEARS for this chemical to get out of your body and that the symtoms will continue until it\'s gone if it actually does,0,0,0,1,0,0,0,0,0
a couple of people have written in that there dogs and catswere diagnosed with AIH,0,0,0,1,0,0,0,0,0
 Even just for a couple of hours  it will be nice to get out and laugh,0,0,0,0,1,0,0,0,0
  The lactulose should help your mother quite a bit,0,1,0,0,0,0,0,0,0
  I have also reduced the amount of beef I consume and eat more chicken  fish and pork,0,0,0,0,0,0,0,1,0
