sentence,label
 many prayers will be said for you to win this battle,1,0
'Hi Connie I never thought about how tough it was  I knew stopping work or the treatment  would be the end of a normal life as I knew it,2
 I am so thrilled with hopes those of you treating now will avoid the nastiness of ESLD  HE and needing a transplant,0
  We went to lunch  and to a park when came home where he greeted our critters  took a pain pill and borrowed down in his old bed  so comfy sleeping off the pain,0
 Iron/ferritin levels have not increased significantly  enzymes  CBC  CMP are normal except for elevated MCV and low platelet count 148 as the lowest,7
  They gave that to my husband for his cramping also,1
 I know we can be of help to you  both for support and information,1
Emma  a biopsy is the definitive way to determine the extent of liver damage and what is really going on,2
 Other posters I myself have learned to respect and love are Butterflythree  hep93  myfather  moms will to live  and many others,0
he gets a monthly breathing treatment in its place and he's off of valcyte now ,0
If she was fine before the fall  and now all this  I think I would put her in the hospital for more testing and observation ,7
The oldest one is angry at her and is slowly dealing with that and there will be the time where he will confront her on all of his issues  but only when he is ready,6
  Trouble is for about 6 weeks I've had severe debilitating joint pain ,4,2
 Then I read Rick's posting on another site and realized I was back where I belonged,1
 Mine wasn't caused by anything in particular but there are some medications that can trigger it,8
In my case  the tumor HAD ruptured prior to laparoscopic resection of the appendix and the mucin spread around,4,6
David your post have been so helpfulto me and my husband,0
 Got call today that I am positive for CMV infection,2,4
'thanks connie  i think  that the actual results are left and the normal ratio is right on this paperwork  heres a few examples,3
The specialists also said it was better that he eat something that will help him put on weight  rather than continuously watch the sodium  so he was allowed to have gravy etc that I would normally carefully monitor,7
 Try to calm down and concentrate on what comes next,1
  This disease has shown me that I am human and this tx has made me humble,0,1
My sis is stable  no short term memory  but doing well with 70 hours of home health care a week and all her meds  drs stuff  and $$$ looked after for her by me,7
 It\'s really funny he sleeps so soundly at any time  I could go over and whip an eyebrow off,0,1
You have read our stories and likely know many of our members here have successfully treated with Solvaldi/riba,0
 I kept looking for you to tell you how good it turned out,0
  Sorry to get on my soapbox but I really do think the tendency of pharmacy is to over medicate with the goal of people falling in to some arbitrary ideal range,6,5
Natty  it sounds like you went through a very rough time with pneumonia,4
 The time frame they have given you/her is a standard with alcoholics,1,0
  Still got the flu like symptoms - but today I don\'t feel like I don\'t like myself,3
 This is known as a bridge to a transplant  and if he was told he needed a transplant,3
Hoping you all are getting Hep C treatment  waiting for your transplants  getting your AIH meds under control  etc,0
 From the time I was first diagnosed with C in '93 until about 2 years ago  I felt fine except for extreme fatigue,0
  Can't say I wasn't a nervous wreck at this point about this decision,3
 Don't drink or smoke either and haven't since my diagnosis,5
I have stage one in disease and stage one in scarring,2,4
  I know i tried wearing different shoes  etc but nothing seemed to work,6,4
 Later that evening I got a call from my hep  the numbers were up again,4
  This is due to changing diet  following doctors orders  but most importantly NO ALCOHOL,4
  First thing we noticed was worse insomnia and Riba Rage,6
  You know that nobody can really say how long he has left  as everyone is different,4
 I can't comprehend how two of your family members have already passed on with liver disease,5
 I ain't quite sure how the Rabbi's handle that sort of thing but it can't be pretty ,2
 in the hospital--a long trip--and I was really tired,4
 My mom got C Diff when she was in the skilled nursing center,0
 After an Ultrasound and CT Scan  he has Fatty Liver at the least and his liver is too big for them to see if he has any Cirrohsis,2,6
I told him don't worry about not being able to work  that I made enough to support us both,0,1
 I thought what's the use in yelling so I just pretended to talk through crying,4
  Flaming and insults  however  will not be tolerated,5,6
'Hey everyone  just wanted to let you know I have been thinking aboutyou all,0
